source,name,rating,price,location
Expedia,Tolip Alexandria,3.7/5,$451 for 4 nights,Sidi Jabir
Expedia,Al Alamein Hotel,4.8/5,$954 for 4 nights,Sidi Abd El-Rahman
Expedia,Four Seasons Hotel Alexandria at San Stefano,4.8/5,"$1,066 for 4 nights",Sidi Jabir
Expedia,You could be seeing lower prices,NoneNone,,
Expedia,Helnan Palestine Hotel,4.0/5,"$1,084 for 4 nights",Al-Muntazah
Expedia,The Grand Plaza Hotel Smouha,3.4/5,$252 for 4 nights,Sidi Jabir
Expedia,Golden Jewel Alexandria,NoneNone,$444 for 4 nights,Sidi Jabir
Expedia,Iberotel Borg El Arab,3.6/5,$308 for 4 nights,Borg el Arab
Expedia,SUNRISE Alex Avenue Hotel,3.5/5,$435 for 4 nights,Sidi Jabir
Expedia,Steigenberger Cecil Alexandria Hotel,4.2/5,$392 for 4 nights,Alexandria
Expedia,Al Raya Apartments,NoneNone,$374 for 4 nights,Al-Muntazah
Expedia,Hilton Alexandria Corniche,3.7/5,$538 for 4 nights,Alexandria
Expedia,,NoneNone,,
Expedia,Paradise Inn Le Metropole Hotel,3.8/5,$384 for 4 nights,Al-'Atarin
Expedia,Hilton Alexandria Green Plaza,3.6/5,$432 for 4 nights,Sidi Jabir
Expedia,Apartment in Marsellia Land  El Alamein North Coast,5.0/5,"$46,363 for 4 nights",Entire apartment
Expedia,ROMANCE ALEXANDRIA HOTEL,3.7/5,$540 for 4 nights,Alexandria
Expedia,Aura Resort Sidi Abdel Rahman,4.0/5,$300 for 4 nights,Sidi Abd El-Rahman
Expedia,Apartment at San Stefano Grand Plaza,NoneNone,"$1,083 for 4 nights",Entire apartment
Expedia,Panacea Hotel Borg El Arab,4.8/5,$342 for 4 nights,Madinet Borg Al Arab
Expedia,Crystal Inn by Almasa - El Alamein,4.5/5,$597 for 4 nights,Marina El Alamein
Expedia,Porto Marina Resort & Spa,3.3/5,$309 for 4 nights,Marina El Alamein
Booking,"
Tolip Hotel Alexandria
", 7.8 ,"EGP 4,898 4 nights, 1 adult","
Moustafa Kamel, Corniche Road Roshdy, Alexandria, Egypt
"
Booking,"
Sunrise Alex Avenue Hotel
", 8.8 ,"EGP 9,420 4 nights, 1 adult","
Cornish Road, Roushdy, 99998 Alexandria, Egypt
"
Booking,"
Helnan Palestine Hotel
", 8.5 ,"EGP 6,751 4 nights, 1 adult","
Al Montazah Palace, 99999 Alexandria, Egypt
"
Booking,"
Paradise Inn Windsor Palace Hotel
", 8.0 ,"EGP 3,776 4 nights, 1 adult","
17 El-Shohada Street, Raml Station, 21111 Alexandria, Egypt
"
Booking,"
Sheraton Montazah Hotel
", 6.6 ,"EGP 4,836 4 nights, 1 adult","
Corniche Road, Al Montazah, Alexandria, Egypt
"
Booking,"
Four Seasons Hotel Alexandria At San Stefano
", 8.9 ,"EGP 13,141 4 nights, 1 adult","
399 El Geish Road , San Stefano, 21599 Alexandria, Egypt
"
Booking,"
Semiramis Hotel Alexandria
", 5.6 ,"EGP 1,382 4 nights, 1 adult","
80 El Corniche Road Raml Station, 46617 Alexandria, Egypt
"
Booking,"
Hilton Alexandria Corniche
", 7.7 ,"EGP 5,991 4 nights, 1 adult","
544 El Geish Road , Sidi Bishr, 21611 Alexandria, Egypt
"
Booking,"
Paradise Inn Beach Resort
", 7.8 ,"EGP 3,076 4 nights, 1 adult","
Maamoura Beach , Al Maamoura, 21111 Alexandria, Egypt
"
Booking,"
Steigenberger Cecil Hotel Alexandria
", 8.6 ,"EGP 4,270 4 nights, 1 adult","
16 Saad Zagloul Square, Raml Station, 99999 Alexandria, Egypt
"
Booking,"
The Grand Plaza Hotel Smouha
", 7.5 ,"EGP 3,952 4 nights, 1 adult","
14th May Avenue, Smouha, 21648 Alexandria, Egypt
"
Booking,"
Paradise Inn Le Metropole Hotel
", 8.3 ,"EGP 3,423 4 nights, 1 adult","
52 Saad Zaglol Street, Raml Station, 99999 Alexandria, Egypt
"
Booking,"
Romance Alexandria Hotel
", 7.7 ,"EGP 3,140 4 nights, 1 adult","
303 El Geish Road, Saba Pasha, 99999 Alexandria, Egypt
"
Booking,"
Plaza Hotel Alexandria
", 7.3 ,"EGP 3,705 4 nights, 1 adult","
394 El Gaish Ave, Zizinia, Alexandria, Egypt
"
Booking,"
Jewel San Stefano Hotel
", 7.0 ,"EGP 3,140 4 nights, 1 adult","
 409 El Gaish Road San Stefano, 21500 Alexandria, Egypt
"
Booking,"
Sea View Hotel Elagamy
", 5.3 ,"EGP 1,326 4 nights, 1 adult","
Elagamy elbetash end of elhanfya street, 21928 Alexandria, Egypt
"
Booking,"
Alexander The Great Hotel
", 7.4 ,"EGP 1,523 4 nights, 1 adult","
 5 Oskofia Street Beside the Greek Church in front of Saint Catherine's School, El Mansheya El Soghra, 99999 Alexandria, Egypt
"
Booking,"
San Giovanni Stanly Hotel
", 7.7 ,"EGP 3,784 4 nights, 1 adult","
205 El Geish Road, Stanly Bridge, 99999 Alexandria, Egypt
"
Booking,"
Golden Jewel Hotel
", 7.6 ,"EGP 5,597 4 nights, 1 adult","
Corniche Road Sidi Gaber Alexandria Corniche Road Sidi Gaber Alexandria, 21523 Alexandria, Egypt
"
Booking,"
Zafero Studios and Apartments - Families only
", 9.0 ,"EGP 1,546 4 nights, 1 adult","
688 طريق الجيش الدور التاني, 12345 Alexandria, Egypt
"
Booking,"
Cherry Maryski Hotel
", 7.0 ,"EGP 2,449 4 nights, 1 adult","
9 Al Borsa Al Kadima St.,El Raml Station,, 99999 Alexandria, Egypt
"
Booking,"
Hilton Alexandria Green Plaza
", 8.3 ,"EGP 6,217 4 nights, 1 adult","
14th of May Bridge Road - Smouha, Alexandria, Egypt
"
Booking,"
Royal Crown Hotel
", 5.7 ,"EGP 1,716 4 nights, 1 adult","
159 Cornish Road, Cleopatra, 21618 Alexandria, Egypt
"
Booking,"
Saraya Awad Hegazy Street
", 8.4 ,"EGP 2,559 4 nights, 1 adult","
35 شارع خالد بن الوليد الدور الاول, Alexandria, Egypt
"
Booking,"
Aifu Resort El Montazah
", 6.5 ,"EGP 2,199 4 nights, 1 adult","
Al Montazah Towers, 99999 Alexandria, Egypt
"
